"number of behavioral segment","name of behavioral segment",trend,dip,length[km],"fault type","upthrown side","slip rate[m/ky]","slip per event[m]","recurrence interval[ky]","age of the last faulting, field data","age of the last faulting, historical record","elapsed time rate","rupture probability[%] BPT","rupture probability[%] Poisson","Behavioral Segment Outline",Locality,Displacement,Event,"note of behavioral segment","note of slip rate","note of slip per event","note of recurrence interval","note of age of last faulting","endpoint latitude(north)","endpoint longitude(north)","endpoint latitude(south)","endpoint longitude(south) "
001-01,Rausudake,40Åã,"60 Åã -",12,Nor.,-,"   1.0","   1.4","   1.4",,,,,2,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","NE-SW trending normal faults along the backbone range of the Shiretoko Peninsula in eastern Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",44.1483643563,145.2202265862,44.0645119027,145.1210293333
002-01,Kotanuka,40Åã,"45 Åã W",24,Rev.,W,"   0.3","   2.8","   8.9",,,,,0.3,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","NE-SW trending northwest-dipping reverse fault along the southern shore of the Shiretoko Peninsula in eastern Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",43.9347177923,145.1195267831,43.7446596215,145.0260878209
003-01,Minehama,40Åã,"45 Åã E",14,Rev.,E,"   1.0","   1.6","   1.6",,,,,2,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","NE-SW trending southeast-dipping reverse fault along the southern shore of the Shiretoko Peninsula in eastern Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",43.9709815833,144.8539007756,43.8608300864,144.7752273987
004-01,Kaiyo,40Åã,"45 Åã W",18,Rev.,W,"   0.3","   2.1","   7.0",,,,,0.4,GO,GO,GO,GO,GO,0,"estimate based on vertical displacement of dated terrace (AIST, 2022) surfaces (Miyauchi et al,1988)","estimate based on vertical displacement of dated terrace (AIST, 2022) surfaces (Miyauchi et al,1988)","NE-SW trending northwest-dipping reverse fault along the northwestern margin of the Konsen Plain in eastern Hokkaido","estimate based on vertical displacement of dated terrace (AIST, 2022) surfaces (Miyauchi et al,1988)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",43.7061477316,144.97249777,43.5764802794,144.8341035376
004-02,Yoroushi,40Åã,"45 Åã W",15,Rev.,W,"   0.1","   1.7","  17.0",,,,,0.2,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","NE-SW trending northwest-dipping reverse fault along the northwestern margin of the Konsen Plain in eastern Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",43.6164168812,144.7940349273,43.5244792569,144.6537279123
005-01,Abashiriko-toho,0Åã,"45 Åã E",16,Rev.,E,"   0.3","   1.9","   6.2",,,,,0.5,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","N-S trending east-dipping reverse fault along the eastern shore of Lake Abashiri in eastern Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",44.0043780306,144.2234673706,43.8680349092,144.1762378891
006-01,Shihoro,10Åã,"30 Åã E",62,Rev.,E,"   0.4","   7.2","  18.0","AD -12000or less",,,,0.2,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces (Togo,2000; Hokkaido,2002)","estimate based on vertical displacement of dated terrace  surfaces (Togo,2000; Hokkaido,2002)","N-S trending east-dipping reverse fault along the eastern margin of the Tokachi Plain in central Hokkaido","estimate based on vertical displacement of dated terrace  surfaces (Togo,2000; Hokkaido,2002)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",43.2989286749,143.424294497,42.7392776031,143.3467800056
006-02,Tobetsugawa,0Åã,"30 Åã E",40,Rev.,E,"   0.3","   4.7","  16.0",,,,,0.2,GO,GO,GO,GO,GO,0,"estimate based on vertical displacement of dated terrace  surfaces (Togo,2000; Hokkaido,2002)","estimate based on vertical displacement of dated terrace  surfaces (Togo,2000; Hokkaido,2002)","N-S trending east-dipping reverse fault along the eastern margin of the Tokachi Plain in central Hokkaido","estimate based on vertical displacement of dated terrace  surfaces (Togo,2000; Hokkaido,2002)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",42.912982784,143.2326673873,42.5496311292,143.249532516
006-03,Otofuke,0Åã,"30 Åã E",18,Rev.,E,"   0.0",,,,,,,,GO,GO,GO,GO," ",0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","N-S trending east-dipping reverse fault along the eastern margin of the Tokachi Plain in central Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its low activity",43.0406128243,143.2167217755,42.8773974397,143.2138483203
007-01,Kochien,330Åã,"45 Åã E",26,Rev.,E,"   0.1","   3.0","  24.0","AD -19000 to -10317",,"   0.68",0.1,0.1,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces (Togo,2000; Hokkaido,2002)","estimate based on vertical displacement of dated terrace  surfaces (Togo,2000; Hokkaido,2002)","NW-SE trending northeast-dipping reverse fault along the eastern margin of the Hidaka mountains in central Hokkaido","estimate based on vertical displacement of dated terrace  surfaces (Togo,2000; Hokkaido,2002)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",42.5105889437,143.1641265826,42.3055779576,143.324542798
008-01,Higashitoikanbetsu,10Åã,"45 Åã W",20,Rev.,W,"   0.2","   2.3","  12.0",,,,,0.3,GO,GO,GO,GO,GO,0,"tentative estimate based on vertical displacement of terrace surfaces (Oka,1985)","tentative estimate based on vertical displacement of terrace surfaces (Oka,1985)","N-S trending west-dipping reverse fault in northern Hokkaido","tentative estimate based on vertical displacement of terrace surfaces (Oka,1985)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",45.0550394889,142.0884837274,44.8734228419,142.0547422845
009-01,Furano,10Åã,"45 Åã W",28,Rev.,W,"   0.6","   3.3","   5.4",,,,,0.6,GO,GO,GO,GO,GO,1,"tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985; Hokkaido,2003)","tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985; Hokkaido,2003)","N-S trending west-dipping reverse fault along the western margin of the Furano Basin in central Hokkaido","tentative estimate based on vertical displacement of terrace surfaces (Yanagida et al,1985; Hokkaido,2003)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",43.4490257526721,142.44905332173,43.2099091491,142.3533927338
