Year_x,Month_x,Mean Temp.,Max.Temp.(Monthly Mean),Min.Temp.(Monthly Mean),Precip.,Mean Temp. Normal,Precip. Normal,SPI 3-Month,SPI 6-Month,SPI 12-Month,City,City_Lat,City_Lon,LAT_x,LON_x,WMO_WIND_x,WMO_PRES_x,Nature_Disturbance_x,Nature_Extratropical_x,Nature_Mixture(contradicting report from different agencies),Nature_Not reported,Nature_Tropical_x,Date,LAT_y,LON_y,WMO_WIND_y,WMO_PRES_y,Year_y,Month_y,Nature_Disturbance_y,Nature_Extratropical_y,Nature_Mixture_contradicting_report_from_different_agencies_,Nature_Not_reported,Nature_Tropical_y
,,[degC],[degC],[degC],[mm],[degC],[mm]),,,,tokyo,35.69,139.75,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023.0,5.0, 19.0, 24.0, 14.6, 159, 18.8, 139.7,0.21,-0.31,-0.26,tokyo,35.69,139.75,,,,,0.0,0.0,0.0,0.0,0.0,2023-05-01,,,,,,,0.0,0.0,0.0,0.0,0.0
2023.0,6.0, 23.2, 27.6, 19.6, 347, 21.9, 167.8,1.2,0.88,0.78,tokyo,35.69,139.75,,,,,0.0,0.0,0.0,0.0,0.0,2023-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0
2023.0,7.0, 28.7, 33.9, 24.7, 30, 25.7, 156.2,0.67,0.39,0.07,tokyo,35.69,139.75,,,,,0.0,0.0,0.0,0.0,0.0,2023-07-01,,,,,,,0.0,0.0,0.0,0.0,0.0
2023.0,8.0, 29.2, 34.3, 26.1, 133, 26.9, 154.7,0.38,0.35,0.17,tokyo,35.69,139.75,,,,,0.0,0.0,0.0,0.0,0.0,2023-08-01,,,,,,,0.0,0.0,0.0,0.0,0.0
2023.0,9.0, 26.7, 31.2, 23.6, 229, 23.3, 224.9,-0.48,0.27,-0.11,tokyo,35.69,139.75,,,,,0.0,0.0,0.0,0.0,0.0,2023-09-01,,,,,,,0.0,0.0,0.0,0.0,0.0
2023.0,10.0, 18.9, 23.7, 14.7, 147, 18.0, 234.8,-0.14,0.21,-0.03,tokyo,35.69,139.75,,,,,0.0,0.0,0.0,0.0,0.0,2023-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0
2023.0,11.0, 14.4, 19.2, 10.3, 42, 12.5, 96.3,-0.4,-0.12,-0.29,tokyo,35.69,139.75,,,,,0.0,0.0,0.0,0.0,0.0,2023-11-01,,,,,,,0.0,0.0,0.0,0.0,0.0
2023.0,12.0, 9.4, 14.3, 5.2, 20, 7.7, 57.9,-0.89,-1.14,-0.44,tokyo,35.69,139.75,,,,,0.0,0.0,0.0,0.0,0.0,2023-12-01,,,,,,,0.0,0.0,0.0,0.0,0.0
2024.0,1.0, 7.1, 11.8, 2.9, 36, 5.4, 59.7,-1.44,-0.63,-0.33,tokyo,35.69,139.75,,,,,0.0,0.0,0.0,0.0,0.0,2024-01-01,,,,,,,0.0,0.0,0.0,0.0,0.0
