ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES
 , ,degrees_north,degrees_east,kts,mb
4/11/2023 3:00,Tropical,13.8,126.2, , 
4/11/2023 6:00,Tropical,13.9,125.6, , 
4/11/2023 9:00,Tropical,13.9,125, , 
4/11/2023 12:00,Tropical,13.8,124.5, , 
4/11/2023 15:00,Tropical,13.8,124.2, , 
4/11/2023 18:00,Tropical,13.7,124.1, , 
4/11/2023 21:00,Tropical,13.6,123.8, , 
4/12/2023 0:00,Tropical,13.7,123.6, , 
4/12/2023 3:00,Tropical,13.7,123.4, , 
4/12/2023 6:00,Tropical,13.8,123.3, , 
4/12/2023 9:00,Tropical,13.9,123.2, , 
4/12/2023 12:00,Tropical,14,123, , 
4/12/2023 15:00,Tropical,14,122.8, , 
4/12/2023 18:00,Tropical,14.1,122.5, , 
4/12/2023 21:00,Tropical,14.1,122.2, , 
4/13/2023 0:00,Tropical,14.2,121.8, , 
4/13/2023 3:00,Tropical,14.4,121.5, , 
4/13/2023 6:00,Tropical,14.6,121.2, , 
4/18/2023 0:00,Disturbance,2.6,159.6, , 
4/18/2023 3:00,Disturbance,2.7,159.8, , 
4/18/2023 6:00,Disturbance,2.8,159.9, , 
4/18/2023 9:00,Disturbance,2.9,160, , 
4/18/2023 12:00,Disturbance,3,160.1, , 
4/18/2023 15:00,Disturbance,3.2,160.1, , 
4/18/2023 18:00,Disturbance,3.4,160, , 
4/18/2023 21:00,Disturbance,3.6,159.9, , 
4/19/2023 0:00,Mixture(contradicting report from different agencies),3.8,159.7, ,1008
4/19/2023 3:00,Mixture(contradicting report from different agencies),4.1,159.4, , 
4/19/2023 6:00,Mixture(contradicting report from different agencies),4.5,159.1, ,1004
4/19/2023 9:00,Mixture(contradicting report from different agencies),4.8,158.8, , 
4/19/2023 12:00,Tropical,5.3,158.5, ,1008
4/19/2023 15:00,Tropical,6,158.2, , 
4/19/2023 18:00,Tropical,6.8,158, ,1004
4/19/2023 21:00,Tropical,7.4,157.9, , 
4/20/2023 0:00,Tropical,8,157.8, ,1006
4/20/2023 3:00,Tropical,8.6,157.5, , 
4/20/2023 6:00,Tropical,9,157.1, ,1002
4/20/2023 9:00,Tropical,9.3,156.8, , 
4/20/2023 12:00,Tropical,9.5,156.6,35,1000
4/20/2023 15:00,Tropical,9.7,156.4, , 
4/20/2023 18:00,Tropical,9.8,156.3,40,998
4/20/2023 21:00,Tropical,9.9,156.2, , 
4/21/2023 0:00,Tropical,10,156.1,40,998
4/21/2023 3:00,Tropical,10.1,156, , 
4/21/2023 6:00,Tropical,10.2,155.9,45,996
4/21/2023 9:00,Tropical,10.3,155.8, , 
4/21/2023 12:00,Tropical,10.3,155.6,40,1000
4/21/2023 15:00,Tropical,10.3,155.3, , 
4/21/2023 18:00,Tropical,10.3,154.9,35,1002
4/21/2023 21:00,Tropical,10.2,154.6, , 
4/22/2023 0:00,Tropical,10.2,154.3, ,1006
4/22/2023 3:00,Tropical,10.2,154, , 
4/22/2023 6:00,Tropical,10.2,153.7, ,1004
4/22/2023 9:00,Tropical,10.2,153.5, , 
4/22/2023 12:00,Mixture(contradicting report from different agencies),10.3,153.2, , 
4/22/2023 15:00,Disturbance,10.5,152.8, , 
4/22/2023 18:00,Disturbance,10.7,152.7, , 
4/22/2023 21:00,Disturbance,10.7,152.6, , 
4/23/2023 0:00,Disturbance,10.7,152.5, , 
4/23/2023 3:00,Disturbance,10.7,152.4, , 
4/23/2023 6:00,Disturbance,10.6,152.4, , 
4/23/2023 9:00,Disturbance,10.5,152.4, , 
4/23/2023 12:00,Disturbance,10.5,152.3, , 
4/23/2023 15:00,Disturbance,10.5,152.3, , 
4/23/2023 18:00,Disturbance,10.5,152.2, , 
4/23/2023 21:00,Disturbance,10.5,152.2, , 
4/24/2023 0:00,Disturbance,10.5,152, , 
4/24/2023 3:00,Disturbance,10.6,151.6, , 
4/24/2023 6:00,Disturbance,10.8,151.2, , 
4/24/2023 9:00,Disturbance,10.9,150.8, , 
4/24/2023 12:00,Disturbance,10.9,150.4, , 
4/24/2023 15:00,Disturbance,11,150, , 
4/24/2023 18:00,Disturbance,11,149.6, , 
4/24/2023 21:00,Disturbance,10.9,149.3, , 
4/25/2023 0:00,Disturbance,10.7,149, , 
4/25/2023 3:00,Disturbance,10.6,148.8, , 
4/25/2023 6:00,Disturbance,10.5,148.6, , 
4/25/2023 9:00,Disturbance,10.4,148.5, , 
4/25/2023 12:00,Disturbance,10.4,148.3, , 
4/25/2023 15:00,Disturbance,10.3,148.1, , 
4/25/2023 18:00,Disturbance,10.2,147.8, , 
4/25/2023 21:00,Disturbance,10.1,147.5, , 
4/26/2023 0:00,Disturbance,10,147.2, , 
