Year,Month,Mean Temp.,Max.Temp.(Monthly Mean),Min.Temp.(Monthly Mean),Precip.,Mean Temp. Normal,Precip. Normal,SPI 3-Month,SPI 6-Month,SPI 12-Month,City_Lat,City_Lon,LAT,LON,WMO_WIND,WMO_PRES,Nature_Disturbance,Nature_Extratropical,Nature_Mixture(contradicting report from different agencies),Nature_Not reported,Nature_Tropical
,,[degC],[degC],[degC],[mm],[degC],[mm]),,,,27.08,142.18,,,,,,,,,
2023.0,5.0, 23.6, 25.7, 21.8, 209, 23.4, 151.9,1.23,1.56,1.38,27.08,142.18,,,,,,,,,
2023.0,6.0, 27.0, 29.4, 25.1, 90, 26.2, 111.8,1.14,0.78,1.48,27.08,142.18,,,,,,,,,
2023.0,7.0, 28.2, 31.3, 26.0, 36, 27.7, 79.5,0.04,0.77,1.04,27.08,142.18,,,,,,,,,
2023.0,8.0, 28.4, 30.8, 26.7, 251, 28.0, 123.3,0.52,1.23,1.53,27.08,142.18,,,,,,,,,
2023.0,9.0, 28.4, 31.1, 26.2, 55, 27.7, 144.2,0.18,0.91,1.09,27.08,142.18,,,,,,,,,
2023.0,10.0, 25.9, 28.4, 23.5, 235, 26.4, 141.7,0.99,0.62,1.16,27.08,142.18,,,,,,,,,
2023.0,11.0, 23.7, 26.1, 21.4, 100, 23.8, 136.1,-0.06,0.25,1.17,27.08,142.18,,,,,,,,,
2023.0,12.0, 20.9, 23.3, 18.4, 56, 20.6, 103.3,0.1,0.1,0.53,27.08,142.18,,,,,,,,,
2024.0,1.0, 18.5, 21.2, 15.6, 24, 18.5, 63.6,-1.19,0.18,0.6,27.08,142.18,,,,,,,,,
2024.0,2.0, 19.9, 22.0, 17.6, 71, 18.1, 51.6,-0.86,-0.48,0.51,27.08,142.18,,,,,,,,,
2024.0,3.0, 19.6, 22.0, 16.9, 25, 19.3, 75.8,-1.1,-0.33,0.42,27.08,142.18,,,,,,,,,
2024.0,4.0, 23.1, 25.6, 21.1, 28, 21.1, 113.3,-1.15,-1.73,-0.32,27.08,142.18,,,,,,,,,
2024.0,5.0, 25.0, 27.6, 23.2, 14, 23.4, 151.9,-2.77,-2.69,-1.08,27.08,142.18,,,,,,,,,
2024.0,6.0, 27.1, 29.4, 25.0, 156, 26.2, 111.8,-1.17,-1.6,-0.91,27.08,142.18,,,,,,,,,
2024.0,7.0, 29.2, 32.8, 26.7, 21, 27.7, 79.5,-1.0,-1.72,-0.92,27.08,142.18,,,,,,,,,
2024.0,8.0, 28.6, 31.1, 26.6, 185, 28.0, 123.3,0.43,-1.21,-1.26,27.08,142.18,,,,,,,,,
2024.0,9.0, 28.1, 30.6, 26.2, 138, 27.7, 144.2,0.2,-0.72,-0.82,27.08,142.18,,,,,,,,,
2024.0,10.0, 27.8, 30.1, 25.7, 84, 26.4, 141.7,0.23,-0.55,-1.5,27.08,142.18,,,,,,,,,
2024.0,11.0, 25.1, 27.3, 23.0, 144, 23.8, 136.1,-0.23,0.07,-1.45,27.08,142.18,,,,,,,,,
2024.0,12.0, 20.1, 22.5, 17.4, 146, 20.6, 103.3,-0.01,0.03,-0.99,27.08,142.18,,,,,,,,,
2025.0,1.0, 18.2, 20.4, 15.5, 111, 18.5, 63.6,0.71,0.57,-0.6,27.08,142.18,,,,,,,,,
2025.0,2.0, 17.3, 19.8, 14.3, 61, 18.1, 51.6,0.83,0.27,-0.64,27.08,142.18,,,,,,,,,
2025.0,3.0, 19.3, 22.2, 16.7, 39, 19.3, 75.8,0.21,0.07,-0.54,27.08,142.18,,,,,,,,,
2025.0,4.0, 20.6, 23.4, 18.0, 199, 21.1, 113.3,0.74,0.89,0.07,27.08,142.18,,,,,,,,,
