Year,Month,Mean Temp.,Max.Temp.(Monthly Mean),Min.Temp.(Monthly Mean),Precip.,Mean Temp. Normal,Precip. Normal,SPI 3-Month,SPI 6-Month,SPI 12-Month,City_Lat,City_Lon,LAT,LON,WMO_WIND,WMO_PRES,Nature_Disturbance,Nature_Extratropical,Nature_Mixture(contradicting report from different agencies),Nature_Not reported,Nature_Tropical
,,[degC],[degC],[degC],[mm],[degC],[mm]),,,,33.57,130.37,,,,,,,,,
2023.0,5.0, 20.2, 24.5, 16.6, 246, 19.9, 133.7,1.29,1.0,-0.32,33.57,130.37,,,,,,,,,
2023.0,6.0, 24.4, 28.3, 21.5, 169, 23.3, 249.6,0.44,0.37,-0.22,33.57,130.37,,,,,,,,,
2023.0,7.0, 28.9, 32.9, 25.8, 537, 27.4, 299.1,1.08,1.11,1.0,33.57,130.37,,,,,,,,,
2023.0,8.0, 29.7, 33.9, 26.9, 164, 28.4, 210.0,0.58,0.93,0.73,33.57,130.37,,,,,,,,,
2023.0,9.0, 26.9, 30.7, 24.1, 105, 24.7, 175.1,0.67,0.72,0.37,33.57,130.37,,,,,,,,,
2023.0,10.0, 19.8, 24.3, 16.1, 23, 19.6, 94.5,-1.01,0.37,0.25,33.57,130.37,,,,,,,,,
2023.0,11.0, 15.1, 19.5, 11.2, 52, 14.2, 91.4,-1.79,-0.05,0.3,33.57,130.37,,,,,,,,,
2023.0,12.0, 9.9, 13.5, 6.8, 45, 9.1, 67.5,-1.65,0.21,0.32,33.57,130.37,,,,,,,,,
2024.0,1.0, 8.3, 11.6, 5.0, 81, 6.9, 74.4,-0.61,-1.15,0.3,33.57,130.37,,,,,,,,,
2024.0,2.0, 9.9, 13.3, 6.9, 168, 7.8, 69.8,1.29,-0.68,0.6,33.57,130.37,,,,,,,,,
2024.0,3.0, 11.5, 15.2, 8.6, 140, 10.8, 103.7,1.91,0.22,0.74,33.57,130.37,,,,,,,,,
2024.0,4.0, 17.6, 21.5, 14.5, 172, 15.4, 118.2,2.01,1.2,0.69,33.57,130.37,,,,,,,,,
2024.0,5.0, 20.2, 24.4, 16.3, 120, 19.9, 133.7,0.62,1.1,0.37,33.57,130.37,,,,,,,,,
2024.0,6.0, 23.9, 27.7, 20.9, 235, 23.3, 249.6,0.1,0.68,0.53,33.57,130.37,,,,,,,,,
2024.0,7.0, 29.9, 33.8, 27.1, 195, 27.4, 299.1,-0.47,0.24,-0.5,33.57,130.37,,,,,,,,,
2024.0,8.0, 30.5, 34.8, 27.7, 225, 28.4, 210.0,-0.15,0.04,-0.3,33.57,130.37,,,,,,,,,
2024.0,9.0, 28.8, 33.3, 25.3, 116, 24.7, 175.1,-0.35,-0.3,-0.24,33.57,130.37,,,,,,,,,
2024.0,10.0, 22.0, 25.7, 18.7, 140, 19.6, 94.5,0.21,-0.28,0.1,33.57,130.37,,,,,,,,,
2024.0,11.0, 15.7, 19.2, 12.8, 353, 14.2, 91.4,1.85,0.61,0.88,33.57,130.37,,,,,,,,,
2024.0,12.0, 9.1, 12.3, 6.0, 30, 9.1, 67.5,2.61,0.65,0.85,33.57,130.37,,,,,,,,,
2025.0,1.0, 6.8, 10.4, 3.8, 35, 6.9, 74.4,2.36,1.05,0.76,33.57,130.37,,,,,,,,,
2025.0,2.0, 5.7, 9.3, 2.6, 36, 7.8, 69.8,-2.16,1.0,0.42,33.57,130.37,,,,,,,,,
2025.0,3.0, 11.9, 16.2, 8.2, 124, 10.8, 103.7,-0.84,1.97,0.38,33.57,130.37,,,,,,,,,
2025.0,4.0, 16.2, 20.9, 12.1, 37, 15.4, 118.2,-1.5,0.84,0.0,33.57,130.37,,,,,,,,,
