Year,Month,Mean Temp.,Max.Temp.(Monthly Mean),Min.Temp.(Monthly Mean),Precip.,Mean Temp. Normal,Precip. Normal,SPI 3-Month,SPI 6-Month,SPI 12-Month,City_Lat,City_Lon,LAT,LON,WMO_WIND,WMO_PRES,Nature_Disturbance,Nature_Extratropical,Nature_Mixture(contradicting report from different agencies),Nature_Not reported,Nature_Tropical
,,[degC],[degC],[degC],[mm],[degC],[mm]),,,,26.2,127.68,,,,,,,,,
2023.0,5.0, 24.3, 26.8, 22.3, 101, 24.2, 245.3,-0.68,-0.49,0.73,26.2,127.68,,,,,,,,,
2023.0,6.0, 27.2, 29.7, 25.7, 401, 27.2, 284.4,0.25,-0.3,0.54,26.2,127.68,26.3,127.6,50.0,970.0,0.0,0.0,0.0,0.0,1.0
2023.0,7.0, 29.6, 32.8, 27.4, 92, 29.1, 188.1,-0.28,-0.39,0.32,26.2,127.68,,,,,,,,,
2023.0,8.0, 28.6, 31.4, 26.6, 739, 29.0, 240.0,1.75,1.02,1.53,26.2,127.68,,,,,,,,,
2023.0,9.0, 28.7, 31.8, 26.4, 205, 27.9, 275.2,1.36,1.09,1.1,26.2,127.68,,,,,,,,,
2023.0,10.0, 26.0, 28.8, 23.7, 81, 25.5, 179.2,1.43,0.75,0.88,26.2,127.68,,,,,,,,,
2023.0,11.0, 22.6, 25.2, 20.1, 57, 22.5, 119.1,-0.77,1.01,0.5,26.2,127.68,,,,,,,,,
2023.0,12.0, 19.7, 22.2, 17.2, 183, 19.0, 110.0,-0.38,0.95,0.41,26.2,127.68,,,,,,,,,
2024.0,1.0, 17.9, 20.7, 15.3, 43, 17.3, 101.6,-0.41,1.13,0.41,26.2,127.68,,,,,,,,,
2024.0,2.0, 19.8, 22.7, 17.8, 49, 17.5, 114.5,-0.41,-1.1,0.38,26.2,127.68,,,,,,,,,
2024.0,3.0, 19.5, 22.3, 17.2, 194, 19.1, 142.8,-0.66,-0.76,0.61,26.2,127.68,,,,,,,,,
2024.0,4.0, 23.9, 26.8, 21.8, 471, 21.5, 161.0,1.51,0.98,1.14,26.2,127.68,,,,,,,,,
2024.0,5.0, 24.7, 27.4, 22.6, 475, 24.2, 245.3,2.18,1.79,1.81,26.2,127.68,,,,,,,,,
2024.0,6.0, 26.9, 29.5, 24.9, 764, 27.2, 284.4,2.85,2.32,2.51,26.2,127.68,,,,,,,,,
2024.0,7.0, 30.5, 33.9, 28.2, 98, 29.1, 188.1,2.0,2.3,2.47,26.2,127.68,,,,,,,,,
2024.0,8.0, 30.2, 32.8, 28.2, 110, 29.0, 240.0,1.01,2.04,1.34,26.2,127.68,,,,,,,,,
2024.0,9.0, 28.8, 31.7, 26.5, 296, 27.9, 275.2,-0.45,2.0,1.39,26.2,127.68,26.6,127.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024.0,10.0, 27.6, 30.3, 25.5, 339, 25.5, 179.2,0.51,1.71,1.8,26.2,127.68,,,,,,,,,
2024.0,11.0, 23.9, 26.2, 22.3, 209, 22.5, 119.1,1.43,1.56,2.07,26.2,127.68,,,,,,,,,
2024.0,12.0, 18.6, 21.2, 16.5, 24, 19.0, 110.0,0.94,0.15,1.76,26.2,127.68,,,,,,,,,
2025.0,1.0, 16.8, 19.4, 14.5, 96, 17.3, 101.6,-0.02,0.38,1.96,26.2,127.68,,,,,,,,,
2025.0,2.0, 16.0, 18.6, 13.9, 76, 17.5, 114.5,-1.23,0.88,2.15,26.2,127.68,,,,,,,,,
2025.0,3.0, 19.4, 22.3, 17.3, 88, 19.1, 142.8,-0.91,0.29,1.92,26.2,127.68,,,,,,,,,
2025.0,4.0, 20.5, 23.6, 17.7, 172, 21.5, 161.0,-0.49,-0.41,1.4,26.2,127.68,,,,,,,,,
