Year,Month,Mean Temp.,Max.Temp.(Monthly Mean),Min.Temp.(Monthly Mean),Precip.,Mean Temp. Normal,Precip. Normal,SPI 3-Month,SPI 6-Month,SPI 12-Month,City_Lat,City_Lon,LAT,LON,WMO_WIND,WMO_PRES,Nature_Disturbance,Nature_Extratropical,Nature_Mixture(contradicting report from different agencies),Nature_Not reported,Nature_Tropical
,,[degC],[degC],[degC],[mm],[degC],[mm]),,,,43.05,141.32,,,,,,,,,
2023.0,5.0, 13.8, 19.2, 9.4, 22, 13.0, 55.5,-1.73,-0.99,-0.76,43.05,141.32,,,,,,,,,
2023.0,6.0, 19.3, 24.2, 15.2, 134, 17.0, 60.4,0.7,-0.36,-0.3,43.05,141.32,,,,,,,,,
2023.0,7.0, 23.8, 27.8, 20.7, 62, 21.1, 90.7,0.34,-0.11,-0.31,43.05,141.32,,,,,,,,,
2023.0,8.0, 26.7, 30.9, 23.7, 70, 22.3, 126.8,-0.02,-0.74,-1.32,43.05,141.32,,,,,,,,,
2023.0,9.0, 21.5, 25.5, 17.9, 146, 18.6, 142.2,-0.59,-0.24,-0.92,43.05,141.32,,,,,,,,,
2023.0,10.0, 13.3, 17.9, 9.3, 89, 12.1, 109.9,-0.68,-0.47,-0.92,43.05,141.32,,,,,,,,,
2023.0,11.0, 6.7, 10.3, 2.9, 127, 5.2, 113.8,0.13,0.0,-0.57,43.05,141.32,,,,,,,,,
2023.0,12.0, -0.7, 2.2, -3.7, 47, -0.9, 114.5,-0.89,-1.04,-1.09,43.05,141.32,,,,,,,,,
2024.0,1.0, -1.8, 1.1, -4.9, 154, -3.2, 108.4,0.09,-0.57,-0.58,43.05,141.32,,,,,,,,,
2024.0,2.0, -1.9, 1.5, -5.1, 117, -2.7, 91.9,0.17,0.13,-0.53,43.05,141.32,,,,,,,,,
2024.0,3.0, 0.8, 4.2, -2.7, 68, 1.1, 77.6,0.89,-0.02,-0.29,43.05,141.32,,,,,,,,,
2024.0,4.0, 10.4, 15.7, 6.5, 35, 7.3, 54.6,-0.07,-0.03,-0.47,43.05,141.32,,,,,,,,,
2024.0,5.0, 14.2, 19.1, 9.8, 40, 13.0, 55.5,-1.09,-0.44,-0.36,43.05,141.32,,,,,,,,,
2024.0,6.0, 19.0, 23.9, 15.1, 38, 17.0, 60.4,-1.37,-0.08,-0.98,43.05,141.32,,,,,,,,,
2024.0,7.0, 23.3, 28.0, 20.1, 144, 21.1, 90.7,0.4,0.16,-0.44,43.05,141.32,,,,,,,,,
2024.0,8.0, 24.6, 28.4, 21.7, 103, 22.3, 126.8,0.18,-0.34,-0.19,43.05,141.32,,,,,,,,,
2024.0,9.0, 19.9, 24.5, 15.7, 75, 18.6, 142.2,-0.17,-0.74,-0.62,43.05,141.32,,,,,,,,,
2024.0,10.0, 13.8, 18.3, 9.0, 160, 12.1, 109.9,-0.35,-0.16,-0.2,43.05,141.32,,,,,,,,,
2024.0,11.0, 6.0, 9.6, 2.0, 134, 5.2, 113.8,0.2,0.19,-0.14,43.05,141.32,,,,,,,,,
2024.0,12.0, -1.9, 0.7, -4.6, 55, -0.9, 114.5,0.38,-0.01,-0.1,43.05,141.32,,,,,,,,,
2025.0,1.0, -1.2, 1.5, -3.8, 69, -3.2, 108.4,-1.04,-0.87,-0.67,43.05,141.32,,,,,,,,,
2025.0,2.0, -0.9, 2.4, -4.4, 118, -2.7, 91.9,-1.01,-0.48,-0.7,43.05,141.32,,,,,,,,,
2025.0,3.0, 2.0, 5.3, -1.3, 95, 1.1, 77.6,0.1,0.28,-0.5,43.05,141.32,,,,,,,,,
2025.0,4.0, 8.5, 13.0, 5.2, 110, 7.3, 54.6,1.39,0.31,-0.01,43.05,141.32,,,,,,,,,
