Year,Month,Mean Temp.,Max.Temp.(Monthly Mean),Min.Temp.(Monthly Mean),Precip.,Mean Temp. Normal,Precip. Normal,SPI 3-Month,SPI 6-Month,SPI 12-Month,City_Lat,City_Lon,LAT,LON,WMO_WIND,WMO_PRES,Nature_Disturbance,Nature_Extratropical,Nature_Mixture(contradicting report from different agencies),Nature_Not reported,Nature_Tropical
,,[degC],[degC],[degC],[mm],[degC],[mm]),,,,35.69,139.75,,,,,,,,,
2023.0,5.0, 19.0, 24.0, 14.6, 159, 18.8, 139.7,0.21,-0.31,-0.26,35.69,139.75,,,,,,,,,
2023.0,6.0, 23.2, 27.6, 19.6, 347, 21.9, 167.8,1.2,0.88,0.78,35.69,139.75,,,,,,,,,
2023.0,7.0, 28.7, 33.9, 24.7, 30, 25.7, 156.2,0.67,0.39,0.07,35.69,139.75,,,,,,,,,
2023.0,8.0, 29.2, 34.3, 26.1, 133, 26.9, 154.7,0.38,0.35,0.17,35.69,139.75,,,,,,,,,
2023.0,9.0, 26.7, 31.2, 23.6, 229, 23.3, 224.9,-0.48,0.27,-0.11,35.69,139.75,,,,,,,,,
2023.0,10.0, 18.9, 23.7, 14.7, 147, 18.0, 234.8,-0.14,0.21,-0.03,35.69,139.75,,,,,,,,,
2023.0,11.0, 14.4, 19.2, 10.3, 42, 12.5, 96.3,-0.4,-0.12,-0.29,35.69,139.75,,,,,,,,,
2023.0,12.0, 9.4, 14.3, 5.2, 20, 7.7, 57.9,-0.89,-1.14,-0.44,35.69,139.75,,,,,,,,,
2024.0,1.0, 7.1, 11.8, 2.9, 36, 5.4, 59.7,-1.44,-0.63,-0.33,35.69,139.75,,,,,,,,,
2024.0,2.0, 8.0, 12.5, 4.1, 79, 6.1, 56.5,-0.35,-0.53,-0.17,35.69,139.75,,,,,,,,,
2024.0,3.0, 9.6, 14.8, 5.1, 189, 9.4, 116.0,1.17,-0.26,0.0,35.69,139.75,,,,,,,,,
2024.0,4.0, 17.1, 21.8, 13.1, 116, 14.3, 133.7,0.98,-0.11,0.1,35.69,139.75,,,,,,,,,
2024.0,5.0, 20.0, 24.8, 15.6, 202, 18.8, 139.7,1.24,0.79,0.27,35.69,139.75,,,,,,,,,
2024.0,6.0, 23.1, 27.7, 19.3, 350, 21.9, 167.8,1.67,1.87,0.26,35.69,139.75,,,,,,,,,
2024.0,7.0, 28.7, 33.5, 25.0, 207, 25.7, 156.2,2.02,2.08,0.85,35.69,139.75,,,,,,,,,
2024.0,8.0, 29.0, 33.6, 25.7, 381, 26.9, 154.7,2.42,2.53,1.58,35.69,139.75,,,,,,,,,
2024.0,9.0, 26.6, 30.9, 23.5, 112, 23.3, 224.9,1.08,1.89,1.23,35.69,139.75,,,,,,,,,
2024.0,10.0, 20.6, 24.5, 17.4, 175, 18.0, 234.8,0.64,1.88,1.5,35.69,139.75,,,,,,,,,
2024.0,11.0, 13.7, 17.8, 10.2, 82, 12.5, 96.3,-0.74,1.56,1.67,35.69,139.75,,,,,,,,,
2024.0,12.0, 8.1, 13.2, 3.8, 0, 7.7, 57.9,-0.49,0.58,1.6,35.69,139.75,,,,,,,,,
2025.0,1.0, 6.6, 11.6, 2.6, 26, 5.4, 59.7,-1.25,0.16,1.49,35.69,139.75,,,,,,,,,
2025.0,2.0, 6.5, 12.0, 1.9, 7, 6.1, 56.5,-2.79,-1.48,1.27,35.69,139.75,,,,,,,,,
2025.0,3.0, 10.7, 16.0, 6.2, 153, 9.4, 116.0,-0.52,-0.71,1.17,35.69,139.75,,,,,,,,,
2025.0,4.0, 15.6, 20.7, 11.2, 155, 14.3, 133.7,0.25,-0.67,1.28,35.69,139.75,,,,,,,,,
